Input; Oracle; Reward; EpisodeLength; Sensitivity; Coverage; Generation; TestExecTime; CoverageTime; RunTime
[-0.44844556, 0.        ]; False; -91.0; 91; None; None; 0; 0.0311582088470459; None; 1763881108.6819904
[-0.42194512, 0.        ]; False; -85.0; 85; 226.41138902415298; None; 0; 0.030267953872680664; None; 1763881108.6819904
[-0.46374467, 0.        ]; False; -96.0; 96; None; None; 0; 0.02672743797302246; None; 1763881108.7715333
[-0.55456847, 0.        ]; False; -195.0; 195; 1090.0226667992326; None; 0; 0.060814619064331055; None; 1763881108.7755575
[-0.4710316, 0.       ]; False; -100.0; 100; None; None; 0; 0.031185150146484375; None; 1763881108.8435597
[-0.47536257, 0.        ]; False; -104.0; 104; 923.5821446020244; None; 0; 0.036817073822021484; None; 1763881108.8446689
[-0.50083, 0.     ]; True; -200.0; 200; None; None; 0; 0.06322240829467773; None; 1763881108.9435863
[-0.58319694, 0.        ]; False; -109.0; 109; 1104.8121526491293; None; 0; 0.03367304801940918; None; 1763881108.9446914
[-0.4028117, 0.       ]; False; -83.0; 83; None; None; 0; 0.02433919906616211; None; 1763881109.0011742
[-0.43347117, 0.        ]; False; -87.0; 87; 130.4654122774872; None; 0; 0.029920339584350586; None; 1763881109.0021741
[-0.42518812, 0.        ]; False; -86.0; 86; 166.71063006307338; None; 1; 0.025841474533081055; None; 1763881109.0292056
[-0.4721768, 0.       ]; False; -101.0; 101; None; None; 1; 0.034435272216796875; None; 1763881109.0682237
[-0.4956841, 0.       ]; False; -158.0; 158; None; None; 1; 0.04905509948730469; None; 1763881109.1172788
[-0.5472961, 0.       ]; True; -200.0; 200; None; None; 1; 0.07282257080078125; None; 1763881109.1901014
[-0.5566627, 0.       ]; False; -195.0; 195; 550.5625460906472; None; 1; 0.060751914978027344; None; 1763881109.251854
[-0.48676392, 0.        ]; False; -161.0; 161; 4238.409953579436; None; 1; 0.05298590660095215; None; 1763881109.3048398
[-0.54366386, 0.        ]; True; -200.0; 200; None; None; 1; 0.06457638740539551; None; 1763881109.370803
[-0.5326737, 0.       ]; True; -200.0; 200; None; None; 1; 0.06464314460754395; None; 1763881109.4354463
[-0.5351944, 0.       ]; True; -200.0; 200; None; None; 1; 0.06916546821594238; None; 1763881109.5046117
[-0.4844885, 0.       ]; False; -167.0; 167; 1178.8064887272856; None; 1; 0.05577850341796875; None; 1763881109.560716
[-0.4332964, 0.       ]; False; -87.0; 87; None; None; 1; 0.02814650535583496; None; 1763881109.5898654
[-0.4871245, 0.       ]; False; -163.0; 163; 5546.645507893214; None; 2; 0.052726030349731445; None; 1763881109.6435618
[-0.5921081, 0.       ]; False; -107.0; 107; None; None; 1; 0.037534236907958984; None; 1763881109.6820962
[-0.5606265, 0.       ]; False; -199.0; 199; None; None; 1; 0.07142448425292969; None; 1763881109.7546039
[-0.46992758, 0.        ]; False; -99.0; 99; 525.145464078065; None; 1; 0.09304547309875488; None; 1763881109.84865
[-0.53306305, 0.        ]; True; -200.0; 200; None; None; 1; 0.1601254940032959; None; 1763881110.0097938
[-0.5462087, 0.       ]; True; -200.0; 200; None; None; 3; 0.1404285430908203; None; 1763881110.1502223
[-0.4918169, 0.       ]; False; -159.0; 159; None; None; 2; 0.0606236457824707; None; 1763881110.2118466
[-0.51157296, 0.        ]; True; -200.0; 200; None; None; 3; 0.06916618347167969; None; 1763881110.2820141
[-0.4896622, 0.       ]; False; -159.0; 159; 3141.3448422747633; None; 1; 0.0601193904876709; None; 1763881110.3421335
[-0.5478251, 0.       ]; True; -200.0; 200; None; None; 2; 0.07989621162414551; None; 1763881110.4220297
[-0.43380827, 0.        ]; False; -87.0; 87; None; None; 3; 0.03482627868652344; None; 1763881110.457856
[-0.4441265, 0.       ]; False; -89.0; 89; None; None; 2; 0.033348798751831055; None; 1763881110.4946978
[-0.52830154, 0.        ]; True; -200.0; 200; None; None; 2; 0.08029389381408691; None; 1763881110.5790086
[-0.48496437, 0.        ]; False; -165.0; 165; 3089.999039641747; None; 1; 0.07101225852966309; None; 1763881110.6500208
[-0.46260443, 0.        ]; False; -95.0; 95; None; None; 1; 0.04045987129211426; None; 1763881110.6914816
[-0.4964132, 0.       ]; False; -158.0; 158; None; None; 3; 0.061899423599243164; None; 1763881110.7560673
[-0.5261957, 0.       ]; True; -200.0; 200; None; None; 3; 0.06669187545776367; None; 1763881110.823759
[-0.4860489, 0.       ]; False; -163.0; 163; None; None; 2; 0.05441021919250488; None; 1763881110.8821828
[-0.5539909, 0.       ]; False; -194.0; 194; 544.0806332878236; None; 2; 0.06434822082519531; None; 1763881110.9505672
[-0.57741386, 0.        ]; False; -135.0; 135; 4495.873350923483; None; 1; 0.05199837684631348; None; 1763881111.0025656
[-0.53484607, 0.        ]; True; -200.0; 200; None; None; 1; 0.07262778282165527; None; 1763881111.0751934
[-0.55285406, 0.        ]; False; -194.0; 194; 1171.3182084714242; None; 1; 0.06467556953430176; None; 1763881111.1419737
[-0.5347106, 0.       ]; True; -200.0; 200; None; None; 2; 0.06444191932678223; None; 1763881111.2104592
[-0.4660754, 0.       ]; False; -97.0; 97; None; None; 1; 0.03130817413330078; None; 1763881111.2427678
[-0.47546315, 0.        ]; False; -104.0; 104; None; None; 1; 0.03475356101989746; None; 1763881111.2775214
[-0.48839676, 0.        ]; False; -160.0; 160; None; None; 3; 0.05011463165283203; None; 1763881111.327636
[-0.47837174, 0.        ]; False; -108.0; 108; None; None; 1; 0.03853774070739746; None; 1763881111.3703675
[-0.48904133, 0.        ]; False; -160.0; 160; 2719.4781308815186; None; 1; 0.050687313079833984; None; 1763881111.422055
[-0.42963222, 0.        ]; False; -87.0; 87; None; None; 1; 0.028881072998046875; None; 1763881111.450936
[-0.55952966, 0.        ]; False; -197.0; 197; 2666.412566110704; None; 1; 0.0613555908203125; None; 1763881111.5122917
[-0.57732666, 0.        ]; False; -135.0; 135; None; None; 1; 0.04160141944885254; None; 1763881111.5579689
[-0.5825528, 0.       ]; False; -110.0; 110; 254.59756893333537; None; 1; 0.03657364845275879; None; 1763881111.5945425
[-0.5652495, 0.       ]; False; -148.0; 148; None; None; 2; 0.048523902893066406; None; 1763881111.6448264
[-0.48811835, 0.        ]; False; -161.0; 161; None; None; 3; 0.05055117607116699; None; 1763881111.6953776
[-0.59716433, 0.        ]; False; -107.0; 107; None; None; 2; 0.03816485404968262; None; 1763881111.7335424
[-0.53092873, 0.        ]; True; -200.0; 200; None; None; 1; 0.06672334671020508; None; 1763881111.8002658
[-0.55445004, 0.        ]; False; -195.0; 195; 2083.1146478841442; None; 1; 0.05704689025878906; None; 1763881111.8573127
[-0.45452595, 0.        ]; False; -92.0; 92; None; None; 2; 0.03008723258972168; None; 1763881111.8874
[-0.5668118, 0.       ]; False; -145.0; 145; 1296.8272317071992; None; 1; 0.0479130744934082; None; 1763881111.9393816
[-0.41350618, 0.        ]; False; -84.0; 84; None; None; 1; 0.024073362350463867; None; 1763881111.964008
[-0.46612057, 0.        ]; False; -97.0; 97; None; None; 1; 0.03255438804626465; None; 1763881111.9965625
